# Taxid	Sci.Name	Rank	Named Lineage	Taxid Lineage
10090	Mus musculus	species	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Sciurognathi,Muroidea,Muridae,Murinae,Mus,Mus,Mus musculus	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9347,1437010,314146,314147,9989,33553,337687,10066,39107,10088,862507,10090
1248232	Photobacterium leiognathi lrivu.4.1	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium leiognathi,Photobacterium leiognathi lrivu.4.1	1,131567,2,1224,1236,135623,641,657,553611,1248232
1906	Streptomyces fradiae	species	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces,Streptomyces fradiae	1,131567,2,201174,1760,85003,2037,85011,2062,1883,1906
1907	Streptomyces glaucescens	species	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces,Streptomyces glaucescens	1,131567,2,201174,1760,85003,2037,85011,2062,1883,1907
452471	Candidatus Amoebophilus asiaticus 5a2	no rank	root,cellular organisms,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,Cytophagia,Cytophagales,Amoebophilaceae,Candidatus Amoebophilus,Candidatus Amoebophilus asiaticus,Candidatus Amoebophilus asiaticus 5a2	1,131567,2,68336,976,768503,768507,1501348,281119,281120,452471
1378168	Firmicutes bacterium ASF500	species	root,cellular organisms,Bacteria,Firmicutes,unclassified Firmicutes sensu stricto,unclassified Firmicutes sensu stricto (miscellaneous),Firmicutes bacterium ASF500	1,131567,2,1239,33974,84086,1378168
1117108	Paenibacillus alvei TS-15	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus alvei,Paenibacillus alvei TS-15	1,131567,2,1239,91061,1385,186822,44249,44250,1117108
378753	Kocuria rhizophila DC2201	no rank	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Micrococcaceae,Kocuria,Kocuria rhizophila,Kocuria rhizophila DC2201	1,131567,2,201174,1760,85003,2037,85006,1268,57493,72000,378753
100226	Streptomyces coelicolor A3(2)	no rank	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group,Streptomyces coelicolor,Streptomyces coelicolor A3(2)	1,131567,2,201174,1760,85003,2037,85011,2062,1883,1477431,1902,100226
1299327	Mycobacterium kansasii 732	no rank	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Corynebacterineae,Mycobacteriaceae,Mycobacterium,Mycobacterium kansasii,Mycobacterium kansasii 732	1,131567,2,201174,1760,85003,2037,85007,1762,1763,1768,1299327
